DESALATION_PLANTS	build_year	dp_overnight_cost_tuberia_toma_agua	dp_fixed_om_tuberia_toma_agua	dp_overnight_cost_tuberia_estanque_inicial	dp_fixed_om_tuberia_estanque_inicial	dp_overnight_cost_tuberia_pre_tratamiento	dp_fixed_om_tuberia_pre_tratamiento	dp_overnight_cost_tuberia_post_tratamiento	dp_fixed_om_tuberia_post_tratamiento	dp_overnight_cost_tuberia_estanque_final	dp_fixed_om_tuberia_estanque_final	dp_overnight_cost_estanque_inicial	dp_fixed_om_estanque_inicial	dp_overnight_cost_estanque_final	dp_fixed_om_estanque_final
Agua_Potable_Atacama	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Agua_Potable_Rural_Chanavayita	2014	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Aguas_CAP_Bahia_Totoralillo_Cerro_Negro_Norte	2014	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Ampliacion_4_Los_Pelambres	2020	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Arbiodo	2017	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Arica	2017	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Bahia_Caldera	2017	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Cementos_Polpaico	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Central_Guacolda	2020	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Central_Laguna_Verde	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Central_Nueva_Tocopilla	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Central_Termoelectrica_Angamos	2016	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Central_Ventanas	2017	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Cerro_Blanco	2017	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Corredor_Relincho_y_El_Morro	2020	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Diego_de_Almagro	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Distrito_Minero_Centinela_Area_Mina_Planta	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Distrito_Minero_Centinela_Area_Muelle_Esperanza	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Dominga	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
El_Abra_Mill_Project	2021	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
El_Espino	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Expansion_Fase_3_Collahuasi	2022	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Gobierno_Arica	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Gobierno_Choapa	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Gobierno_Limari	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Gobierno_Petorca	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Hornitos	2012	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
La_Chimba	2003	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Minera_Candelaria	2013	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Minera_Centinela_Desal_Antucoya	2015	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Minera_Centinela_Desal_Esperanza	2010	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Minera_Mantos_de_la_Luna	2005	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Minera_Mantoverde	2014	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Minera_Sierra_Gorda	2014	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Minera_Spence	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Moly_Cop	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Puerto_Coloso_Minera_Escondida	2006	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Puerto_Coloso_Minera_Escondida_Exp	2017	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Quebrada_Blanca_Fase_2	2020	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Radomiro_Tomic_Sulfuros_Fase_2	2019	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Region_de_Atacama	2022	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Santo_Domingo	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Sur_Antofagasta	2018	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Taltal	2008	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
Tocopilla	2017	113813.4592	0	47413.7671	0	133428.5544	0	285130.4493	0	47413.7671	0	7481.301745	0	7481.301745	0
