DESALATION_PLANT	build_year	dp_capacidad_tuberia_toma_agua	dp_capacidad_tuberia_estanque_inicial	dp_capacidad_tuberia_pre_tratamieto	dp_capacidad_tuberia_post_tratamieto	dp_capacidad_tuberia_estanque_final	dp_capacidad_estanque_inicial	dp_capacidad_estanque_final
Agua_Potable_Atacama	2018	2200	0	2200	1000	173.6111111	0	5000
Agua_Potable_Rural_Chanavayita	2014	26	0	26	12	3.472222222	0	100
Aguas_CAP_Bahia_Totoralillo_Cerro_Negro_Norte	2014	600	0	1200	600	34.72222222	0	1000
Ampliacion_4_Los_Pelambres	2020	450	0	865	400	34.72222222	0	1000
Arbiodo	2017	300	0	38	17.2	1.736111111	0	50
Arica	2017	8	0	8	4	1.388888889	0	40
Bahia_Caldera	2017	232	0	232	93	69.44444444	0	2000
Cementos_Polpaico	2018	4.6	0	4.6	1.54	9.722222222	0	280
Central_Guacolda	2020	3400	0	3400	1700	0	0	0
Central_Laguna_Verde	2018	2000	0	2000	1000	0	0	0
Central_Nueva_Tocopilla	2018	200	0	200	100	0	0	0
Central_Termoelectrica_Angamos	2016	556	0	556	213	138.8888889	0	4000
Central_Ventanas	2017	1120	0	1120	560	0	0	0
Cerro_Blanco	2017	440	0	980	440	12.15277778	0	350
Corredor_Relincho_y_El_Morro	2020	1480	0	1480	740	0	0	0
Diego_de_Almagro	2018	315	0	60.6	30.3	0	0	0
Distrito_Minero_Centinela_Area_Mina_Planta	2019	291	0	291	140	0	0	0
Distrito_Minero_Centinela_Area_Muelle_Esperanza	2019	84	0	84	38	34.72222222	0	1000
Dominga	2019	496	0	1101	496	0	0	0
El_Abra_Mill_Project	2021	1000	0	1000	500	0	0	0
El_Espino	2019	180	0	11.4	5.2	0	0	0
Expansion_Fase_3_Collahuasi	2022	3650	0	3650	1500	0	0	0
Gobierno_Arica	2018	400	0	400	200	0	0	0
Gobierno_Choapa	2019	134	0	134	67	0	0	0
Gobierno_Limari	2019	274	0	274	137	0	0	0
Gobierno_Petorca	2018	230	0	230	115	0	0	0
Hornitos	2012	10.8	0	10.8	4.3	24.30555556	0	700
La_Chimba	2003	1999	0	1999	850	62.5	0	1800
Minera_Candelaria	2013	500	0	800	500	1388.888889	0	40000
Minera_Centinela_Desal_Antucoya	2015	1500	0	90	48	50.34722222	0	1450
Minera_Centinela_Desal_Esperanza	2010	1500	0	356	173	1006.944444	0	29000
Minera_Mantos_de_la_Luna	2005	78	0	22	9	0	0	0
Minera_Mantoverde	2014	120	0	280	120	833.3333333	0	24000
Minera_Sierra_Gorda	2014	1500	0	90	63.1	868.0555556	0	25000
Minera_Spence	2019	1000	0	3320	1600	138.8888889	0	4000
Moly_Cop	2018	10.8	0	10.8	4.3	27.77777778	0	800
Puerto_Coloso_Minera_Escondida	2006	525	0	1050	560	1736.111111	0	50000
Puerto_Coloso_Minera_Escondida_Exp	2017	4000	0	7700	3200	243.0555556	0	7000
Quebrada_Blanca_Fase_2	2020	1300	0	3264	1300	100.6944444	0	2900
Radomiro_Tomic_Sulfuros_Fase_2	2019	1956	0	4346	1956	347.2222222	0	10000
Region_de_Atacama	2022	2667	0	2667	1200	138.8888889	0	4000
Santo_Domingo	2018	408	0	174.1	77.9	1.736111111	0	50
Sur_Antofagasta	2018	2391	0	2391	1015	173.6111111	0	5000
Taltal	2008	20	0	20	10	0	0	0
Tocopilla	2017	444	0	444	200	243.0555556	0	7000
